Year,Movie,Countries
1946,The Turning Point,Russia
1946,Men Without Wings,Czechia
1946,The Last Chance,Switzerland
1946,Torment,Sweden
1946,Portrait of Maria,Mexico
1946,"Rome, Open City",Italy
1946,Neecha Nagar (Lowly City),India
1946,Brief Encounter,United Kingdom
1946,Pastoral Symphony,France
1946,The Lost Weekend,United
1946,The Red Meadows,Denmark
1949,The Third Man,United Kingdom
1951,Miss Julie,Sweden
1951,Miracle in Milan,Italy
1952,The Tragedy of Othello: The Moor of Venice,United States
1952,Two Cents Worth of Hope,Italy
1953,The Wages of Fear,France Italy
1954,Gate of Hell,Japan
1955,Marty,United States
1956,The Silent World,France
1957,Friendly Persuasion,United States
1958,The Cranes Are Flying,Russia
1959,Black Orpheus,France|Italy|Brazil
1960,The Sweet Life,Italy|France
1961,The Long Absence,France
1961,Viridiana,Mexico|Spain
1962,Keeper of Promises,Brazil
1963,The Leopard,Italy
1964,The Umbrellas of Cherbourg,France|Germany
1965,The Knack ...and How to Get It,United Kingdom
1966,A Man and a Woman,France
1966,"The Birds, the Bees and the Italians",Italy|France
1967,Blowup,United Kingdom|United States|Italy
1969,If....,United Kingdom
1970,MASH,United States
1971,The Go-Between,United Kingdom
1972,The Working Class Goes to Heaven,Italy
1972,The Mattei Affair,Italy
1973,The Hireling,United Kingdom
1973,Scarecrow,United States
1974,The Conversation,United States
1975,Chronicle of the Years of Fire,Algeria
1976,Taxi Driver,United States
1977,Padre Padrone,Italy
1978,The Tree of Wooden Clogs,Italy
1979,Apocalypse Now,United States
1979,The Tin Drum,Germany|Poland|France
1980,All That Jazz,United States
1980,Kagemusha,Japan
1981,Man of Iron,Poland
1982,Missing,United States
1982,The Way Yol,Turkey
1983,The Ballad of Narayama,Japan
1984,"Paris, Texas",Germany|France|United Kingdom|United States
1985,When Father Was Away on Business, Serbia
1986,The Mission,United Kingdom
1987,Under the Sun of Satan,France
1988,Pelle the Conqueror,Denmark Sweden
1989,"Sex, Lies, and Videotape",United States
1990,Wild at Heart,United States
1991,Barton Fink,United States
1992,The Best Intentions,Sweden
1993,Farewell My Concubine,China
1993,The Piano,New Zealand|Australia|France
1994,Pulp Fiction,United States
1995,Underground, Serbia|Germany|France|Hungary|Czechia|Bulgaria
1996,Secrets & Lies,United Kingdom France
1997,Taste of Cherry,Iran
1997,The Eel,Japan
1998,Eternity and a Day,Greece
1999,Rosetta,Belgium France
2000,Dancer in the Dark,Denmark
2001,The Son's Room,Italy
2002,The Pianist,France|Germany|United Kingdom
2003,Elephant,United States
2004,Fahrenheit 9/11,United States
2005,The Child,Belgium
2006,The Wind That Shakes the Barley,Ireland|United Kingdom|Germany|Italy|Spain France|Belgium|Switzerland
2007,"4 Months, 3 Weeks and 2 Days",Romania
2008,The Class,France
2009,The White Ribbon,Austria|France|Germany|Italy
2010,Uncle Boonmee Who Can Recall His Past Lives,Thailand
2011,The Tree of Life,United States
2012,Amour,France|Austria|Germany
2013,Blue Is the Warmest Colour,France|Belgium|Spain
2014,Winter Sleep,Turkey
2015,Dheepan,France
2016,"I, Daniel Blake",United Kingdom|France
2017,The Square,Sweden Germany|France|Denmark
2018,Shoplifters,Japan
2019,Parasite,South Korea
